#	lambda         S/N    tar_flux   tot_noise    sc_noise   sys_noise   readnoise  dark_noise   sky_noise     mockgal
#	nm   1e-13erg/s/cm2/nm    #e          #e          #e          #e          #e          #e      1e-13erg/s/cm2/nm
     371.769   2.592E-02   7.134E-04    11.27441     0.54054    11.26145     9.79796     5.53173     0.46921     0.00700
     371.944   2.659E-02   7.307E-04    11.27476     0.54753    11.26145     9.79796     5.53173     0.46942     0.03224
     372.120   2.743E-02   7.526E-04    11.27519     0.55614    11.26146     9.79796     5.53173     0.46964     0.00075
     372.296   2.827E-02   7.743E-04    11.27562     0.56456    11.26147     9.79796     5.53173     0.46987     0.03524
     372.471   2.872E-02   7.854E-04    11.27585     0.56906    11.26148     9.79796     5.53173     0.47009     0.01823
     372.647   2.849E-02   7.780E-04    11.27575     0.56682    11.26149     9.79796     5.53173     0.47030    -0.02256
     372.822   2.756E-02   7.512E-04    11.27529     0.55745    11.26150     9.79796     5.53173     0.47051    -0.02242
     372.998   2.602E-02   7.080E-04    11.27453     0.54161    11.26151     9.79796     5.53173     0.47074     0.01150
     373.173   2.396E-02   6.509E-04    11.27351     0.51975    11.26152     9.79796     5.53173     0.47094    -0.04633
     373.349   2.171E-02   5.887E-04    11.27239     0.49471    11.26153     9.79796     5.53173     0.47115    -0.03214
     373.524   2.006E-02   5.429E-04    11.27157     0.47546    11.26154     9.79796     5.53173     0.47138    -0.00425
     373.700   1.967E-02   5.315E-04    11.27138     0.47081    11.26155     9.79796     5.53173     0.47160     0.03738
     373.876   2.037E-02   5.496E-04    11.27174     0.47914    11.26155     9.79796     5.53173     0.47182     0.03340
     374.051   2.145E-02   5.778E-04    11.27229     0.49168    11.26156     9.79796     5.53173     0.47202    -0.03809
     374.227   2.231E-02   6.002E-04    11.27273     0.50154    11.26157     9.79796     5.53173     0.47224     0.01501
     374.402   2.276E-02   6.111E-04    11.27297     0.50648    11.26158     9.79796     5.53173     0.47246    -0.03484
     374.578   2.287E-02   6.132E-04    11.27303     0.50777    11.26159     9.79796     5.53173     0.47269     0.00461
     374.753   2.293E-02   6.139E-04    11.27307     0.50847    11.26160     9.79796     5.53173     0.47289     0.01893
     374.929   2.310E-02   6.172E-04    11.27316     0.51027    11.26161     9.79796     5.53173     0.47310     0.02693
     375.104   2.330E-02   6.215E-04    11.27327     0.51247    11.26162     9.79796     5.53173     0.47332    -0.02872
     375.280   2.347E-02   6.252E-04    11.27337     0.51441    11.26163     9.79796     5.53173     0.47354    -0.02792
     375.456   2.359E-02   6.275E-04    11.27344     0.51573    11.26164     9.79796     5.53173     0.47376     0.00355
     375.631   2.362E-02   6.271E-04    11.27346     0.51599    11.26164     9.79796     5.53173     0.47395     0.00495
     375.807   2.355E-02   6.244E-04    11.27344     0.51530    11.26165     9.79796     5.53173     0.47417    -0.01151
     375.982   2.338E-02   6.189E-04    11.27336     0.51344    11.26166     9.79796     5.53173     0.47440    -0.00608
     376.158   2.308E-02   6.098E-04    11.27322     0.51006    11.26167     9.79796     5.53173     0.47462     0.00867
     376.333   2.262E-02   5.966E-04    11.27300     0.50494    11.26168     9.79796     5.53173     0.47482     0.01246
     376.509   2.183E-02   5.749E-04    11.27261     0.49605    11.26169     9.79796     5.53173     0.47502    -0.03009
     376.684   2.059E-02   5.414E-04    11.27200     0.48179    11.26170     9.79796     5.53173     0.47525     0.02477
     376.860   1.909E-02   5.011E-04    11.27126     0.46387    11.26171     9.79796     5.53173     0.47547     0.02750
     377.036   1.744E-02   4.571E-04    11.27044     0.44339    11.26172     9.79796     5.53173     0.47568     0.00601
     377.211   1.554E-02   4.065E-04    11.26950     0.41845    11.26173     9.79796     5.53173     0.47587    -0.03515
     377.387   1.351E-02   3.529E-04    11.26849     0.39020    11.26173     9.79796     5.53173     0.47609     0.03203
     377.562   1.203E-02   3.137E-04    11.26776     0.36822    11.26174     9.79796     5.53173     0.47631    -0.01015
     377.738   1.181E-02   3.074E-04    11.26766     0.36481    11.26175     9.79796     5.53173     0.47653     0.00882
     377.913   1.299E-02   3.375E-04    11.26826     0.38254    11.26176     9.79796     5.53173     0.47673    -0.01649
     378.089   1.504E-02   3.903E-04    11.26929     0.41170    11.26177     9.79796     5.53173     0.47693     0.01978
     378.264   1.729E-02   4.480E-04    11.27043     0.44141    11.26178     9.79796     5.53173     0.47715     0.01558
     378.440   1.933E-02   5.003E-04    11.27146     0.46682    11.26179     9.79796     5.53173     0.47735     0.01209
     378.616   2.106E-02   5.440E-04    11.27233     0.48721    11.26180     9.79796     5.53173     0.47755    -0.02245
     378.791   2.242E-02   5.783E-04    11.27302     0.50273    11.26181     9.79796     5.53173     0.47777     0.00695
     378.967   2.334E-02   6.011E-04    11.27349     0.51295    11.26182     9.79796     5.53173     0.47799     0.02779
     379.142   2.389E-02   6.143E-04    11.27377     0.51896    11.26182     9.79796     5.53173     0.47820     0.00284
     379.318   2.434E-02   6.249E-04    11.27401     0.52382    11.26183     9.79796     5.53173     0.47839    -0.00462
     379.493   2.489E-02   6.379E-04    11.27429     0.52969    11.26184     9.79796     5.53173     0.47861    -0.03959
     379.669   2.548E-02   6.523E-04    11.27460     0.53603    11.26185     9.79796     5.53173     0.47882    -0.02311
     379.844   2.599E-02   6.641E-04    11.27486     0.54129    11.26186     9.79796     5.53173     0.47904    -0.01266
     380.020   2.636E-02   6.726E-04    11.27505     0.54514    11.26187     9.79796     5.53173     0.47920     0.01360
     380.196   2.664E-02   6.798E-04    11.27519     0.54806    11.26186     9.79796     5.53173     0.47904     0.00919
     380.371   2.684E-02   6.847E-04    11.27528     0.55009    11.26185     9.79796     5.53173     0.47890    -0.00493
     380.547   2.683E-02   6.846E-04    11.27527     0.55006    11.26185     9.79796     5.53173     0.47877     0.01427
     380.722   2.671E-02   6.814E-04    11.27521     0.54879    11.26184     9.79796     5.53173     0.47863    -0.04762
     380.898   2.674E-02   6.820E-04    11.27521     0.54908    11.26184     9.79796     5.53173     0.47847    -0.02995
     381.073   2.703E-02   6.895E-04    11.27535     0.55211    11.26183     9.79796     5.53173     0.47832    -0.03796
     381.249   2.737E-02   6.980E-04    11.27552     0.55554    11.26182     9.79796     5.53173     0.47819     0.00758
     381.424   2.743E-02   6.994E-04    11.27554     0.55613    11.26182     9.79796     5.53173     0.47805     0.05691
     381.600   2.710E-02   6.910E-04    11.27537     0.55281    11.26181     9.79796     5.53173     0.47789     0.02588
     381.776   2.669E-02   6.803E-04    11.27516     0.54853    11.26180     9.79796     5.53173     0.47774     0.01144
     381.951   2.664E-02   6.790E-04    11.27513     0.54803    11.26180     9.79796     5.53173     0.47760    -0.00379
     382.127   2.701E-02   6.885E-04    11.27531     0.55189    11.26179     9.79796     5.53173     0.47746    -0.03732
     382.302   2.747E-02   7.000E-04    11.27553     0.55650    11.26179     9.79796     5.53173     0.47732     0.01183
     382.478   2.778E-02   7.079E-04    11.27568     0.55965    11.26178     9.79796     5.53173     0.47716    -0.00115
     382.653   2.799E-02   7.132E-04    11.27578     0.56179    11.26177     9.79796     5.53173     0.47702     0.01954
     382.829   2.816E-02   7.176E-04    11.27586     0.56353    11.26177     9.79796     5.53173     0.47688     0.00207
     383.004   2.830E-02   7.211E-04    11.27592     0.56491    11.26176     9.79796     5.53173     0.47674     0.01778
     383.180   2.843E-02   7.243E-04    11.27598     0.56622    11.26176     9.79796     5.53173     0.47659    -0.00738
